trade_id,executed_at,side,trading_pair,base_amount,quote_amount,price,fee_amount,modeled_cost,total_cost,strategy_used
4,2026-06-18T23:15:21.770763,buy,BTC/USDT,0.0003186742132969365,20.002686423618094,62768.45,0.020002686423618094,0.0,20.02268911004171,mean_reversion
5,2026-06-18T23:23:26.040446,sell,BTC/USDT,0.0003186742132969365,20.02816124022905,62848.39,0.02002816124022905,0.0,20.04818940146928,mean_reversion
7,2026-06-18T23:49:38.271051,buy,BTC/USDT,0.0003180299734508399,19.99199383046723,62861.98,0.01999199383046723,0.0,20.011985824297696,mean_reversion
8,2026-06-18T23:50:38.679624,sell,BTC/USDT,0.0003180299734508399,20.01103428497773,62921.85,0.02001103428497773,0.0,20.031045319262706,mean_reversion
2026-06-18T23:50:38.737494,4,TestBot3-MR,8,market_sell,BTC/USDT,0.00031803,62921.85000000,0.02001103,filled,mean_reversion,99.92,True,
