sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-06-16,BTC/USDT,BTC,2026-06-16,65809.40000000,65805.40000000,0.00017728,11.67,11.67,-0.01,,True,True
2026-06-16,BTC/USDT,BTC,2026-06-16,65760.01000000,65760.00000000,0.00015207,10.00,10.00,-0.01,,True,True
2026-06-20,BTC/USDT,BTC,2026-06-20,63822.45000000,63878.69000000,0.00031344,20.02,20.00,-0.00,,True,True
2026-06-20,BTC/USDT,BTC,2026-06-20,63836.16000000,63864.27000000,0.00031316,20.00,19.99,-0.01,,True,True
