sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-06-18,BTC/USDT,BTC,2026-06-18,63085.04000000,63083.65000000,0.00031704,20.00,20.00,-0.02,,True,True
2026-06-18,BTC/USDT,BTC,2026-06-18,63061.49000000,62994.79000000,0.00031696,19.97,19.99,-0.04,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,64029.22000000,64052.08000000,0.00155866,99.84,99.80,-0.16,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,64020.78000000,64033.07000000,0.00154961,99.23,99.21,-0.18,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63973.53000000,63973.52000000,0.00154114,98.59,98.59,-0.20,,True,True
