trade_id,executed_at,side,trading_pair,base_amount,quote_amount,price,fee_amount,modeled_cost,total_cost,strategy_used
14,2026-07-07T00:53:56.241095,buy,BTC/USDT,0.000311374139225653,19.995930340000317,64218.34,0.019995930340000318,0.0,20.015926270340316,auto_mode
18,2026-07-07T01:27:35.416948,sell,BTC/USDT,0.000311374139225653,19.916782147550553,63964.15,0.019916782147550553,0.0,19.936698929698103,auto_mode
20,2026-07-07T01:32:39.259507,buy,BTC/USDT,0.00031274733431210073,19.97907532924609,63882.48,0.01997907532924609,0.0,19.999054404575336,auto_mode
22,2026-07-07T01:42:44.344185,sell,BTC/USDT,0.00031274733431210073,19.97206040653747,63860.05,0.01997206040653747,0.0,19.992032466944007,auto_mode
23,2026-07-07T01:44:03.388260,buy,BTC/USDT,0.0003123108513296826,19.960945181738445,63913.71,0.019960945181738445,0.0,19.980906126920186,auto_mode
24,2026-07-07T02:05:08.132214,sell,BTC/USDT,0.0003123108513296826,19.95138846968776,63883.11,0.01995138846968776,0.0,19.97133985815745,auto_mode
26,2026-07-07T02:16:29.219748,buy,BTC/USDT,0.0003123491862601005,19.945694480978688,63857.04,0.019945694480978687,0.0,19.965640175459665,auto_mode
30,2026-07-07T03:25:44.311242,sell,BTC/USDT,0.0003123491862601005,19.79006337543273,63358.78,0.01979006337543273,0.0,19.80985343880816,auto_mode
31,2026-07-07T03:48:25.079883,buy,BTC/USDT,0.00031492562902420693,19.901973917431686,63195.79,0.019901973917431686,0.0,19.921875891349117,auto_mode
32,2026-07-07T03:58:30.105818,sell,BTC/USDT,0.00031492562902420693,19.89164435679969,63162.99,0.01989164435679969,0.0,19.91153600115649,auto_mode
36,2026-07-07T04:35:17.417171,buy,BTC/USDT,0.0003143586920166948,19.88820129119361,63265.95,0.019888201291193612,0.0,19.908089492484805,auto_mode
38,2026-07-07T05:31:50.603460,sell,BTC/USDT,0.0003143586920166948,19.82901069307379,63077.66,0.01982901069307379,0.0,19.848839703766863,auto_mode
39,2026-07-07T05:51:49.372451,buy,BTC/USDT,0.0003142354136192958,19.860275188025373,63201.9,0.019860275188025373,0.0,19.8801354632134,auto_mode
40,2026-07-07T06:06:49.533109,sell,BTC/USDT,0.0003142354136192958,19.81941829954659,63071.88,0.01981941829954659,0.0,19.83923771784614,auto_mode
42,2026-07-07T06:45:38.289846,buy,BTC/USDT,0.0003137569581739507,19.85204594543012,63272.05,0.019852045945430122,0.0,19.87189799137555,auto_mode
44,2026-07-07T07:30:39.477110,sell,BTC/USDT,0.0003137569581739507,19.854364609351023,63279.44,0.019854364609351024,0.0,19.874218973960375,auto_mode
45,2026-07-07T07:49:10.212768,buy,BTC/USDT,0.0003139323417271434,19.832258158597785,63173.67,0.019832258158597786,0.0,19.852090416756383,auto_mode
46,2026-07-07T08:12:14.653098,sell,BTC/USDT,0.0003139323417271434,19.82102252008737,63137.88,0.019821022520087373,0.0,19.84084354260746,auto_mode
47,2026-07-07T09:20:44.587738,buy,BTC/USDT,0.00031341886828359085,19.818706777723804,63233.93,0.019818706777723804,0.0,19.838525484501528,auto_mode
48,2026-07-07T09:35:44.963642,sell,BTC/USDT,0.00031341886828359085,19.801744548572294,63179.81,0.019801744548572295,0.0,19.821546293120868,auto_mode
49,2026-07-07T10:10:27.906955,buy,BTC/USDT,0.00031246421266553355,19.801916410295796,63373.39,0.019801916410295797,0.0,19.82171832670609,auto_mode
50,2026-07-07T10:25:27.902250,sell,BTC/USDT,0.0003124642126655335,19.803672459170976,63379.01,0.019803672459170977,0.0,19.823476131630148,auto_mode
51,2026-07-07T10:44:49.011904,buy,BTC/USDT,0.0003127284495100528,19.790513307155482,63283.38,0.019790513307155484,0.0,19.81030382046264,auto_mode
52,2026-07-07T12:36:34.472640,sell,BTC/USDT,0.0003127284495100528,19.864042020204288,63518.5,0.019864042020204288,0.0,19.88390606222449,auto_mode
2026-07-07T12:36:34.551763,1,TestBot13-Auto,52,market_sell,BTC/USDT,0.00031273,63518.50000000,0.01986404,filled,auto_mode,98.92,True,
