sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-06-18,BTC/USDT,BTC,2026-06-16,66297.34000000,62844.94000000,0.00030170,18.96,20.00,-1.06,2,True,True
2026-06-18,BTC/USDT,BTC,2026-06-18,62861.99000000,62947.16000000,0.00031816,20.03,20.00,0.01,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63272.05000000,63279.44000000,0.00031376,19.85,19.85,-0.02,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63173.67000000,63137.88000000,0.00031393,19.82,19.83,-0.03,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63233.93000000,63179.81000000,0.00031342,19.80,19.82,-0.04,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63373.39000000,63379.01000000,0.00031246,19.80,19.80,-0.02,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63283.38000000,63518.50000000,0.00031273,19.86,19.79,0.05,,True,True
