trade_id,executed_at,side,trading_pair,base_amount,quote_amount,price,fee_amount,modeled_cost,total_cost,strategy_used
25,2026-06-20T22:43:42.355856,buy,BTC/USDT,0.0015522030941100113,99.80925113044088,64301.67,0.09980925113044088,0.0,99.90906038157132,trend_following
26,2026-06-20T22:44:03.488548,sell,BTC/USDT,0.0015522030941100113,99.74258400754887,64258.72,0.09974258400754887,0.0,99.84232659155641,trend_following
27,2026-06-20T22:49:05.864904,buy,BTC/USDT,0.0015470201371833414,99.42268350079198,64267.22,0.09942268350079198,0.0,99.52210618429277,trend_following
28,2026-06-20T22:49:14.011539,sell,BTC/USDT,0.0015470201371833414,99.42293102401392,64267.38,0.09942293102401392,0.0,99.52235395503793,trend_following
2026-06-20T22:49:14.043732,7,TestBot10-TF,28,market_sell,BTC/USDT,0.00154702,64267.38000000,0.09942293,filled,trend_following,99.44,True,
