sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-06-18,BTC/USDT,BTC,2026-06-18,62885.10000000,62885.09000000,0.00015902,10.00,10.00,-0.01,,True,True
2026-06-19,BTC/USDT,BTC,2026-06-19,62915.13000000,62912.21000000,0.00158591,99.77,99.78,-0.10,,True,True
2026-06-20,BTC/USDT,BTC,2026-06-20,64301.67000000,64258.72000000,0.00155220,99.74,99.81,-0.17,,True,True
2026-06-20,BTC/USDT,BTC,2026-06-20,64267.22000000,64267.38000000,0.00154702,99.42,99.42,-0.10,,True,True
