sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-06-21,BTC/USDT,BTC,2026-06-21,63705.89899345,63763.85000000,0.00031371,20.00,19.98,-0.03,,True,True
2026-06-21,BTC/USDT,BTC,2026-06-21,63700.49279559,63759.86000000,0.00047042,29.99,29.97,0.01,,True,True
2026-06-21,BTC/USDT,BTC,2026-06-21,63700.49279559,63743.04000000,0.00031375,20.00,19.99,-0.00,,True,True
2026-06-21,BTC/USDT,BTC,2026-06-21,63686.73086420,63405.85000000,0.00031537,20.00,20.08,-0.11,,True,True
2026-06-29,BTC/USDT,BTC,2026-06-21,63686.73086420,60444.47000000,0.00094189,56.93,59.99,-3.10,7,True,True
2026-07-06,BTC/USDT,BTC,2026-07-06,64258.22000000,64248.62000000,0.00155311,99.79,99.80,-0.11,,True,True
2026-07-06,BTC/USDT,BTC,2026-07-06,64106.57000000,64106.56000000,0.00155189,99.49,99.49,-0.10,,True,True
2026-07-06,BTC/USDT,BTC,2026-07-06,64136.53000000,64133.84000000,0.00154657,99.19,99.19,-0.10,,True,True
